id;cantidad;valor_por_unidad;descripcion
1;28077;Shoes deposit;Representative
2;46994;uniform PCI back up;Tactics architectures Planner
3;96361;SDD disintermediate reinvent;eco-centric Bedfordshire mesh
4;39469;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire
5;87737;program;Metal array France
6;29651;schemas Synergistic Personal Loan Account;Avon
7;50151;digital deposit;extend Unbranded Fresh Pants Tools
8;57886;interfaces;Garden Dale Wallis and Futuna
9;28654;Utah Computers Small Fresh Gloves;Brunei Darussalam interface
10;82786;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit
