id;valor;etiqueta;descripcion;tipo_de_dominio
1;mobile Fish;Home Loan Account Table Computer;Trace;UNIDAD
2;Tasty Metal Bacon;red Chips Soap;Home Loan Account;ACTIVIDAD
3;Namibia;Steel zero administration;Multi-channelled Licensed;ACTIVIDAD
4;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;ROL
5;Investment Account;Games Regional Digitized;copy convergence;PAIS
6;Industrial;connect Markets Chief;capacitor archive;PAIS
7;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;ROL
8;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;CIUDAD
9;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;ROL
10;hard drive Robust Networked;Poland;Small partnerships;PROVINCIA
