id;comentario;calificacion;fecha_de_creacion
1;distributed Ranch impactful;64882;2019-09-03T10:42:18
2;Awesome Russian Federation;58684;2019-09-03T09:16:54
3;Michigan Connecticut empower;33744;2019-09-03T13:57:13
4;payment Illinois dot-com;98651;2019-09-03T14:44:21
5;Integration Music;22533;2019-09-03T18:59:56
6;Multi-tiered Pizza;18656;2019-09-03T20:33:29
7;digital;5565;2019-09-03T01:08:43
8;Small Andorra infomediaries;98237;2019-09-02T22:44:01
9;Regional;57599;2019-09-02T23:24:01
10;TCP parsing Networked;17088;2019-09-03T05:19:05
