id;fecha_de_realizacion;horas_estimadas;descripcion
1;2019-09-03T05:56:45;34833;Accountability Handmade Cotton Bacon
2;2019-09-02T23:26:44;28203;Table quantify
3;2019-09-03T03:18:12;57592;interface Cotton Robust
4;2019-09-03T08:44:04;34080;Infrastructure SSL bandwidth
5;2019-09-03T04:38:48;73990;Configurable iterate Liechtenstein
6;2019-09-03T10:45:00;82645;encoding Direct
7;2019-09-03T13:19:36;5348;Interactions
8;2019-09-03T02:20:10;9128;time-frame Quality
9;2019-09-02T23:51:11;48252;Borders Practical
10;2019-09-03T20:27:59;29321;knowledge user Danish Krone
