id;nro_de_proyecto;descripcion;direccion;fecha_de_inicio;fecha_de_finalizacion;fecha_de_creacion
1;72609;Strategist;card Licensed Cotton Ball;2019-09-03T12:15:46;2019-09-03T12:07:55;2019-09-03T04:48:38
2;7845;Electronics;Refined infomediaries Som;2019-09-03T21:16:14;2019-09-03T18:30:30;2019-09-03T00:42:09
3;15643;Enterprise-wide Benin;Tuna Response invoice;2019-09-03T10:16:00;2019-09-03T04:57:29;2019-09-03T06:53:48
4;55435;Credit Card Account paradigms;Louisiana;2019-09-03T18:51:35;2019-09-03T04:28:45;2019-09-03T19:47:00
5;1439;Wooden Ergonomic Steel Gloves;Developer Shoes Music;2019-09-03T04:20:48;2019-09-03T10:52:07;2019-09-03T03:18:06
6;47347;Shoes systems;Generic Frozen Tuna HTTP;2019-09-03T16:24:21;2019-09-03T13:40:36;2019-09-03T22:18:00
7;62585;Borders EXE payment;Checking Account;2019-09-03T00:00:51;2019-09-03T07:14:58;2019-09-03T00:00:20
8;2651;New York Data North Dakota;North Carolina Granite;2019-09-03T03:11:55;2019-09-03T09:34:21;2019-09-03T02:58:20
9;94146;revolutionize Branding;teal analyzing yellow;2019-09-03T13:36:47;2019-09-03T22:13:48;2019-09-03T21:43:56
10;9444;Gourde US Dollar Handcrafted Plastic Shirt;Armenian Dram wireless directional;2019-09-03T10:45:45;2019-09-03T19:49:53;2019-09-03T06:02:17
