id;nombre;descripcion;precio_por_unidad;fecha_de_creacion;fecha_de_modificacion
1;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;2019-09-02T22:46:03;2019-09-03T07:36:22
2;Maryland Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive;2019-09-03T11:32:19;2019-09-03T13:20:56
3;Persevering analyzing;Engineer Architect;Beauty dynamic schemas;2019-09-03T08:12:03;2019-09-03T06:14:02
4;Keyboard;Licensed Usability models;Personal Loan Account markets;2019-09-03T00:16:55;2019-09-03T01:37:40
5;Aruba Chair portals;online Strategist Shirt;navigate redefine;2019-09-03T02:46:03;2019-09-03T02:27:24
6;bypassing Bypass;Plastic Movies;SMS;2019-09-03T03:09:28;2019-09-03T09:50:35
7;parse Customer Rhode Island;Accounts navigating Ergonomic;purple User-friendly;2019-09-03T16:04:26;2019-09-03T08:07:09
8;Synergized;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;2019-09-03T10:11:01;2019-09-03T15:16:51
9;connecting Planner Refined;engage Granite Grocery;bluetooth payment digital;2019-09-03T00:59:31;2019-09-03T19:23:40
10;Industrial seamless;withdrawal Jamaica;International;2019-09-03T14:18:33;2019-09-03T09:31:43
